split_id,repeat_id,fold,strategy,model,calibration,best_inner_deviance,alpha,lambda,roc_auc,pr_auc,log_loss,brier,n_test,n_pos_test
75,8,5,ridge_isotonic,ridge,isotonic,0.22931078243447653,0,0.0562646373947104,0.9907407407407407,0.9863073434502005,0.15694512865868038,0.036840545194587536,57,21
75,8,5,lasso_raw,lasso,raw,0.20832198997979234,1,0.010300582550543454,0.9947089947089947,0.9913330286001093,0.15020289996133962,0.044662357039724314,57,21
75,8,5,lasso_sigmoid,lasso,sigmoid,0.20832198997979234,1,0.010300582550543454,0.9947089947089947,0.9913330286001093,0.13171829604484006,0.0394186909661206,57,21
75,8,5,lasso_isotonic,lasso,isotonic,0.20832198997979234,1,0.010300582550543454,0.9629629629629629,0.9708333333333333,0.1945837666140159,0.04293990113615183,57,21
75,8,5,enet_raw,enet,raw,0.16780691087148272,0.5,0.007403674863058118,0.992063492063492,0.9875658761528326,0.1400022091886609,0.04078948837247295,57,21
75,8,5,enet_sigmoid,enet,sigmoid,0.16780691087148272,0.5,0.007403674863058118,0.992063492063492,0.9875658761528326,0.13430670805047612,0.03831635152398969,57,21
75,8,5,enet_isotonic,enet,isotonic,0.16780691087148272,0.5,0.007403674863058118,0.9616402116402115,0.9686791383219955,0.18476902088347902,0.039869316966578416,57,21
76,8,6,ridge_raw,ridge,raw,0.24866324053876668,0,0.06097035568988279,1,1,0.11479356223065669,0.025784422196793593,57,21
76,8,6,ridge_sigmoid,ridge,sigmoid,0.24866324053876668,0,0.06097035568988279,1,1,0.04696090706892367,0.011834491012921533,57,21
76,8,6,ridge_isotonic,ridge,isotonic,0.24866324053876668,0,0.06097035568988279,0.9993386243386243,0.9989177489177489,0.04640691980036987,0.013453466792613786,57,21
76,8,6,lasso_raw,lasso,raw,0.19161842794037434,1,0.008443701465395548,0.9986772486772487,0.9977839620696763,0.09494043673869668,0.024603952244019282,57,21
76,8,6,lasso_sigmoid,lasso,sigmoid,0.19161842794037434,1,0.008443701465395548,0.9986772486772487,0.9977839620696763,0.06680388878420364,0.018559647632212538,57,21
76,8,6,lasso_isotonic,lasso,isotonic,0.19161842794037434,1,0.008443701465395548,0.9973544973544973,0.9956620329291137,0.05887974635117561,0.018365494374929812,57,21
76,8,6,enet_raw,enet,raw,0.17336873938959266,0.7,0.006902566312969652,1,1,0.08279046758837721,0.02075693939853007,57,21
76,8,6,enet_sigmoid,enet,sigmoid,0.17336873938959266,0.7,0.006902566312969652,1,1,0.05756945004074283,0.01520561283765918,57,21
76,8,6,enet_isotonic,enet,isotonic,0.17336873938959266,0.7,0.006902566312969652,1,1,0.034463092699894705,0.008482133917008241,57,21
77,8,7,ridge_raw,ridge,raw,0.2285161718103435,0,0.04204469008353461,1,1,0.09056640066987044,0.019022073397652987,57,21
77,8,7,ridge_sigmoid,ridge,sigmoid,0.2285161718103435,0,0.04204469008353461,1,1,0.07184818739527377,0.022654017719835183,57,21
77,8,7,ridge_isotonic,ridge,isotonic,0.2285161718103435,0,0.04204469008353461,0.9861111111111112,0.9772727272727273,0.2556970369863578,0.018728612584721426,57,21
77,8,7,lasso_raw,lasso,raw,0.20186065400761793,1,0.007697282361908196,1,1,0.060980271712856825,0.013531084983106784,57,21
77,8,7,lasso_sigmoid,lasso,sigmoid,0.20186065400761793,1,0.007697282361908196,1,1,0.052692604833185885,0.015245922874889137,57,21
77,8,7,lasso_isotonic,lasso,isotonic,0.20186065400761793,1,0.007697282361908196,0.9861111111111112,0.9772727272727273,0.2589032174715103,0.02045393855853811,57,21
77,8,7,enet_raw,enet,raw,0.174818903991128,0.3,0.006975247110026421,1,1,0.05674648777735916,0.0140497535214569,57,21
77,8,7,enet_sigmoid,enet,sigmoid,0.174818903991128,0.3,0.006975247110026421,1,1,0.05627345331702544,0.01765593752092295,57,21
77,8,7,enet_isotonic,enet,isotonic,0.174818903991128,0.3,0.006975247110026421,0.9861111111111112,0.9772727272727273,0.2569570120019354,0.018994646507465313,57,21
78,8,8,ridge_raw,ridge,raw,0.2497724702448706,0,0.06106345346455127,0.998639455782313,0.9977839620696763,0.11118176175365282,0.02819159280991316,56,21
78,8,8,ridge_sigmoid,ridge,sigmoid,0.2497724702448706,0,0.06106345346455127,0.998639455782313,0.9977839620696763,0.05787851887475959,0.015875388409409708,56,21
78,8,8,ridge_isotonic,ridge,isotonic,0.2497724702448706,0,0.06106345346455127,0.998639455782313,0.9977839620696763,0.06728442469480848,0.01798905376677402,56,21
78,8,8,lasso_raw,lasso,raw,0.25834709502975484,1,0.01953582999895587,1,1,0.10949306844992941,0.026942710587505303,56,21
78,8,8,lasso_sigmoid,lasso,sigmoid,0.25834709502975484,1,0.01953582999895587,1,1,0.06109002070532572,0.016071439997788865,56,21
78,8,8,lasso_isotonic,lasso,isotonic,0.25834709502975484,1,0.01953582999895587,1,1,0.022896763131402136,0.002867561475750596,56,21
78,8,8,enet_raw,enet,raw,0.15253664661603394,0.5,0.004597999648701896,0.998639455782313,0.9977839620696763,0.08444127030561721,0.02380081330995318,56,21
78,8,8,enet_sigmoid,enet,sigmoid,0.15253664661603394,0.5,0.004597999648701896,0.998639455782313,0.9977839620696763,0.07579778549683798,0.021547273868577844,56,21
78,8,8,enet_isotonic,enet,isotonic,0.15253664661603394,0.5,0.004597999648701896,0.9959183673469388,0.9942874585731728,0.07352757794622858,0.020708587700459014,56,21
79,8,9,ridge_raw,ridge,raw,0.2459917883515621,0,0.06093301875137807,1,1,0.10876335252831827,0.025789946739686005,56,21
79,8,9,ridge_sigmoid,ridge,sigmoid,0.2459917883515621,0,0.06093301875137807,1,1,0.04759187360482381,0.009995690145904195,56,21
79,8,9,ridge_isotonic,ridge,isotonic,0.2459917883515621,0,0.06093301875137807,1,1,0.04686150525505339,0.010977463459070257,56,21
79,8,9,lasso_raw,lasso,raw,0.17897596161561466,1,0.005816351900887457,1,1,0.06168121236990492,0.01314692876482826,56,21
79,8,9,lasso_sigmoid,lasso,sigmoid,0.17897596161561466,1,0.005816351900887457,1,1,0.053099779006019185,0.010930984385977732,56,21
79,8,9,lasso_isotonic,lasso,isotonic,0.17897596161561466,1,0.005816351900887457,1,1,0.04434277243227542,0.009783670618630783,56,21
79,8,9,enet_raw,enet,raw,0.19139058862703942,0.1,0.013127620936633234,1,1,0.06712328925713143,0.014181864963790593,56,21
79,8,9,enet_sigmoid,enet,sigmoid,0.19139058862703942,0.1,0.013127620936633234,1,1,0.04215783883006445,0.0077448596915813805,56,21
79,8,9,enet_isotonic,enet,isotonic,0.19139058862703942,0.1,0.013127620936633234,1,1,0.036733052847104285,0.008790340659728661,56,21
80,8,10,ridge_raw,ridge,raw,0.23110146485797467,0,0.04583151430166895,0.998639455782313,0.9977839620696763,0.09722775686279073,0.024558922994757895,56,21
80,8,10,ridge_sigmoid,ridge,sigmoid,0.23110146485797467,0,0.04583151430166895,0.998639455782313,0.9977839620696763,0.070208613364536,0.02242990210010039,56,21
80,8,10,ridge_isotonic,ridge,isotonic,0.23110146485797467,0,0.04583151430166895,0.9979591836734694,0.9967958197771862,0.06355164851258636,0.01778704531943537,56,21
80,8,10,lasso_raw,lasso,raw,0.16885713312951425,1,0.005269510417801525,0.9972789115646259,0.9954596990311276,0.07725531031597799,0.024434725049884923,56,21
80,8,10,lasso_sigmoid,lasso,sigmoid,0.16885713312951425,1,0.005269510417801525,0.9972789115646259,0.9954596990311276,0.0733939483615733,0.025589027942814483,56,21
80,8,10,lasso_isotonic,lasso,isotonic,0.16885713312951425,1,0.005269510417801525,0.9965986394557823,0.9944715567386375,0.07757484502323796,0.027122087669633654,56,21
80,8,10,enet_raw,enet,raw,0.17857167715376265,0.3,0.011031353726525119,0.9972789115646259,0.9957651044607566,0.08190545964586474,0.023211440786360834,56,21
80,8,10,enet_sigmoid,enet,sigmoid,0.17857167715376265,0.3,0.011031353726525119,0.9972789115646259,0.9957651044607566,0.07736851540212214,0.023747866010423214,56,21
80,8,10,enet_isotonic,enet,isotonic,0.17857167715376265,0.3,0.011031353726525119,0.9972789115646258,0.9956620329291137,0.06860144645866392,0.02354655693894008,56,21
81,9,1,ridge_raw,ridge,raw,0.22421783249186084,0,0.046443070653122566,0.9873737373737372,0.9836274011754453,0.1589413070270934,0.044939627394296126,58,22
81,9,1,ridge_sigmoid,ridge,sigmoid,0.22421783249186084,0,0.046443070653122566,0.9873737373737372,0.9836274011754453,0.12897455530303617,0.03858405664013154,58,22
81,9,1,ridge_isotonic,ridge,isotonic,0.22421783249186084,0,0.046443070653122566,0.9867424242424243,0.9830751223414266,0.1289728821642906,0.03645783825258811,58,22
81,9,1,lasso_raw,lasso,raw,0.1581178420426398,1,0.0033535654341358026,0.9924242424242423,0.9893053074871256,0.10875097212865141,0.03224221962671465,58,22
81,9,1,lasso_sigmoid,lasso,sigmoid,0.1581178420426398,1,0.0033535654341358026,0.9924242424242423,0.9893053074871256,0.10772889213361674,0.032412911098744834,58,22
81,9,1,lasso_isotonic,lasso,isotonic,0.1581178420426398,1,0.0033535654341358026,0.98989898989899,0.9866662223407091,0.10104347775627102,0.029958062400917463,58,22
81,9,1,enet_raw,enet,raw,0.17159335685837726,0.1,0.010981414885005085,0.9898989898989896,0.987669801462905,0.12186669986682155,0.034712176092205234,58,22
81,9,1,enet_sigmoid,enet,sigmoid,0.17159335685837726,0.1,0.010981414885005085,0.9898989898989896,0.987669801462905,0.11032730000636129,0.031847249942480366,58,22
81,9,1,enet_isotonic,enet,isotonic,0.17159335685837726,0.1,0.010981414885005085,0.990530303030303,0.9882575757575758,0.09644328195397929,0.027050332792677337,58,22
82,9,2,ridge_raw,ridge,raw,0.23060187318014694,0,0.05556694051589487,0.9785353535353529,0.9799257759784076,0.147465497082643,0.03476090663293188,58,22
82,9,2,ridge_sigmoid,ridge,sigmoid,0.23060187318014694,0,0.05556694051589487,0.9785353535353529,0.9799257759784076,0.167626328117826,0.023127760545926662,58,22
82,9,2,ridge_isotonic,ridge,isotonic,0.23060187318014694,0,0.05556694051589487,0.975378787878788,0.9830525078369906,0.2560733017021309,0.02070985830695748,58,22
82,9,2,lasso_raw,lasso,raw,0.17161860339550744,1,0.006388847857099997,0.9835858585858581,0.982868601986249,0.11547568374675227,0.024220705207466088,58,22
82,9,2,lasso_sigmoid,lasso,sigmoid,0.17161860339550744,1,0.006388847857099997,0.9835858585858581,0.982868601986249,0.12968080681650662,0.021147554079426093,58,22
82,9,2,lasso_isotonic,lasso,isotonic,0.17161860339550744,1,0.006388847857099997,0.9842171717171718,0.9864075537988581,0.10604535749153329,0.02181126881736632,58,22
82,9,2,enet_raw,enet,raw,0.12745020825604156,0.3,0.002750504769889522,0.9823232323232318,0.9820707070707071,0.14596440494572394,0.030632473375739655,58,22
82,9,2,enet_sigmoid,enet,sigmoid,0.12745020825604156,0.3,0.002750504769889522,0.9823232323232318,0.9820707070707071,0.1691235519234291,0.031337129972689906,58,22
82,9,2,enet_isotonic,enet,isotonic,0.12745020825604156,0.3,0.002750504769889522,0.9722222222222223,0.9791785408948419,0.2883654138560887,0.032330265073419545,58,22
83,9,3,ridge_raw,ridge,raw,0.23604913173645656,0,0.05641274231988977,0.9933862433862436,0.9906593406593407,0.1427305743920602,0.04019235364733017,57,21
83,9,3,ridge_sigmoid,ridge,sigmoid,0.23604913173645656,0,0.05641274231988977,0.9933862433862436,0.9906593406593407,0.09090478085761246,0.026161470360608348,57,21
83,9,3,ridge_isotonic,ridge,isotonic,0.23604913173645656,0,0.05641274231988977,0.9947089947089948,0.9923156553591336,0.0634354437999086,0.0170316309918265,57,21
