split_id,strategy,model,feature,selection_freq,stable_selected,mean_jaccard_subsample,mean_k_selected,alpha,lambda
5,lasso_raw,lasso,mean_radius,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_texture,0.37,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_perimeter,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_area,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_smoothness,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_compactness,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_concavity,0.4,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_concave_points,0.875,1,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_symmetry,0.06,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,mean_fractal_dimension,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_radius,0.67,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_texture,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_perimeter,0.005,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_area,0.005,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_smoothness,0.07,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_compactness,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_concavity,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_concave_points,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_symmetry,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,se_fractal_dimension,0.03,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_radius,0.975,1,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_texture,0.995,1,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_perimeter,0.305,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_area,0,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_smoothness,0.84,1,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_compactness,0.015,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_concavity,0.625,0,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_concave_points,0.98,1,0.6420386393651699,8.15,1,0.013518612271666985
5,lasso_raw,lasso,worst_symmetry,0.915,1,0.6420386393651699,8.15,1,0.013518612271666985
